model_name,scored,rows,n_ge2,n_ge3,n_ge4,n_ge5,cov
palmyra-x5,407,407,367,307,234,128,1.0
claude-opus-5,407,407,296,197,107,8,1.0
gemma-3-27b-pt,407,407,301,198,101,2,1.0
deepseek-r1,407,407,327,251,154,6,1.0
nemotron-nano-3-30b,407,407,403,286,105,18,1.0
claude-opus-4-5,407,407,313,204,96,3,1.0
qwen3-next-80b-a3b,407,407,398,348,245,115,1.0
kimi-k2-5,407,407,341,226,166,7,1.0
llama-3-1-70b-instruct,407,407,376,255,221,34,1.0
claude-opus-4-6,407,407,327,244,127,22,1.0
claude-sonnet-5,407,407,309,214,138,3,1.0
qwen3-coder-30b-a3b-instruct,407,407,387,287,220,76,1.0
glm-5,407,407,352,286,171,3,1.0
glm-4-7,407,407,332,227,170,4,1.0
gpt-oss-120b,407,407,380,195,135,2,1.0
ministral-14b-3-0,407,407,378,297,203,5,1.0
magistral-small-2509,407,407,384,245,167,2,1.0
palmyra-x4,407,407,355,213,101,0,1.0
llama-3-3-70b-instruct,407,407,379,223,223,0,1.0
qwen3-vl-235b-a22b,407,407,353,275,198,20,1.0
glm-4-7-flash,407,407,380,239,153,1,1.0
claude-fable-5,407,407,310,225,142,11,1.0
qwen3-coder-next,407,407,404,295,155,2,1.0
claude-opus-4-8,407,407,282,188,118,13,1.0
llama-4-scout-17b-instruct,407,407,406,256,255,148,1.0
gemma-3-12b-it,407,407,384,240,156,8,1.0
ministral-3b,407,407,323,181,42,1,1.0
deepseek-v3-2,407,407,294,170,99,0,1.0
llama-4-maverick-17b-instruct,407,407,367,259,238,12,1.0
ministral-3-8b,407,407,348,272,202,10,1.0
claude-sonnet-4-5,407,407,398,276,82,0,1.0
gpt-oss-safeguard-20b,407,407,340,239,167,17,1.0
nvidia-nemotron-nano-12b-v2-vl-bf16,407,407,309,159,29,6,1.0
claude-sonnet-4-6,406,407,290,195,114,2,0.9975429975429975
devstral-2-123b,406,407,309,218,135,0,0.9975429975429975
claude-opus-4-7,406,407,303,213,113,17,0.9975429975429975
minimax-m2-5,404,407,377,235,170,25,0.9926289926289926
gpt-oss-safeguard-120b,404,407,354,201,145,9,0.9926289926289926
mistral-large-3,404,407,362,268,195,10,0.9926289926289926
nvidia-nemotron-3-super-120b-a12b,404,407,312,211,104,33,0.9926289926289926
llama-3-1-8b-instruct,403,407,401,283,192,0,0.9901719901719902
minimax-m2-1,400,407,364,207,141,19,0.9828009828009828
claude-haiku-4-5,394,407,354,239,169,1,0.9680589680589681
nova-lite,390,407,285,140,62,0,0.9582309582309582
gpt-oss-20b,389,407,327,218,169,41,0.9557739557739557
qwen3-32b-dense,379,407,292,219,142,1,0.9312039312039312
kimi-k2-thinking,375,407,336,229,177,66,0.9213759213759214
